"Step","longattn-fo-grad - loss","longattn-fo-grad - loss__MIN","longattn-fo-grad - loss__MAX","longattn-aux-v2 - loss","longattn-aux-v2 - loss__MIN","longattn-aux-v2 - loss__MAX","longattn-seperated - loss","longattn-seperated - loss__MIN","longattn-seperated - loss__MAX","longattn-no-muon - loss","longattn-no-muon - loss__MIN","longattn-no-muon - loss__MAX"
"0","1.6010375171899796","1.6010375171899796","1.6010375171899796","1.5739818643778563","1.5739818643778563","1.5739818643778563","1.5686317328363657","1.5686317328363657","1.5686317328363657","1.61882278136909","1.61882278136909","1.61882278136909"
"1","1.8323341775685549","1.8323341775685549","1.8323341775685549","1.8065394554287195","1.8065394554287195","1.8065394554287195","1.8009368479251862","1.8009368479251862","1.8009368479251862","1.8507445454597473","1.8507445454597473","1.8507445454597473"
"2","1.485329918563366","1.485329918563366","1.485329918563366","1.4666926078498363","1.4666926078498363","1.4666926078498363","1.4620480947196484","1.4620480947196484","1.4620480947196484","1.5082660112529993","1.5082660112529993","1.5082660112529993"
"3","1.7354383580386639","1.7354383580386639","1.7354383580386639","1.6960843857377768","1.6960843857377768","1.6960843857377768","1.6890261247754097","1.6890261247754097","1.6890261247754097","1.7332686688750982","1.7332686688750982","1.7332686688750982"
"4","1.7452982626855373","1.7452982626855373","1.7452982626855373","1.7260025069117546","1.7260025069117546","1.7260025069117546","1.7213232554495335","1.7213232554495335","1.7213232554495335","1.7722015157341957","1.7722015157341957","1.7722015157341957"
"5","1.8209572974592447","1.8209572974592447","1.8209572974592447","1.7931468114256859","1.7931468114256859","1.7931468114256859","1.7879255842417479","1.7879255842417479","1.7879255842417479","1.8334971517324448","1.8334971517324448","1.8334971517324448"
"6","1.7649274673312902","1.7649274673312902","1.7649274673312902","1.736678846180439","1.736678846180439","1.736678846180439","1.7311480958014727","1.7311480958014727","1.7311480958014727","1.7829516381025314","1.7829516381025314","1.7829516381025314"
"7","1.754882637411356","1.754882637411356","1.754882637411356","1.7232818864285946","1.7232818864285946","1.7232818864285946","1.7171722631901503","1.7171722631901503","1.7171722631901503","1.7605846617370844","1.7605846617370844","1.7605846617370844"
"8","1.6967358533293009","1.6967358533293009","1.6967358533293009","1.673233138397336","1.673233138397336","1.673233138397336","1.6675049420446157","1.6675049420446157","1.6675049420446157","1.7091535944491625","1.7091535944491625","1.7091535944491625"
"9","1.7805241476744413","1.7805241476744413","1.7805241476744413","1.7680922225117683","1.7680922225117683","1.7680922225117683","1.764049032703042","1.764049032703042","1.764049032703042","1.8066522739827633","1.8066522739827633","1.8066522739827633"
"10","1.8607571441680193","1.8607571441680193","1.8607571441680193","1.8278631493449211","1.8278631493449211","1.8278631493449211","1.820451509207487","1.820451509207487","1.820451509207487","1.8637453988194466","1.8637453988194466","1.8637453988194466"
"11","1.9444716144353151","1.9444716144353151","1.9444716144353151","1.9281592890620232","1.9281592890620232","1.9281592890620232","1.9211645405739546","1.9211645405739546","1.9211645405739546","1.9665367156267166","1.9665367156267166","1.9665367156267166"
"12","1.6040071118623018","1.6040071118623018","1.6040071118623018","1.5865332800894976","1.5865332800894976","1.5865332800894976","1.5776207987219095","1.5776207987219095","1.5776207987219095","1.606649560853839","1.606649560853839","1.606649560853839"
"13","1.6955609992146492","1.6955609992146492","1.6955609992146492","1.6828795205801725","1.6828795205801725","1.6828795205801725","1.6749510206282139","1.6749510206282139","1.6749510206282139","1.7120785359293222","1.7120785359293222","1.7120785359293222"
"14","2.0128121376037598","2.0128121376037598","2.0128121376037598","2.0047239381819963","2.0047239381819963","2.0047239381819963","1.9944793954491615","1.9944793954491615","1.9944793954491615","2.033058900386095","2.033058900386095","2.033058900386095"
"15","1.8508723452687263","1.8508723452687263","1.8508723452687263","1.8400048222392797","1.8400048222392797","1.8400048222392797","1.8308874946087599","1.8308874946087599","1.8308874946087599","1.87450941093266","1.87450941093266","1.87450941093266"
"16","1.4709571413695812","1.4709571413695812","1.4709571413695812","1.4531815629452467","1.4531815629452467","1.4531815629452467","1.4435269571840763","1.4435269571840763","1.4435269571840763","1.4742609690874815","1.4742609690874815","1.4742609690874815"
"17","1.5345213077962399","1.5345213077962399","1.5345213077962399","1.5120009053498507","1.5120009053498507","1.5120009053498507","1.5038261115550995","1.5038261115550995","1.5038261115550995","1.5342440102249384","1.5342440102249384","1.5342440102249384"
"18","1.6226201131939888","1.6226201131939888","1.6226201131939888","1.5941100791096687","1.5941100791096687","1.5941100791096687","1.5852064713835716","1.5852064713835716","1.5852064713835716","1.6209085583686829","1.6209085583686829","1.6209085583686829"
"19","1.920162545517087","1.920162545517087","1.920162545517087","1.9080693572759628","1.9080693572759628","1.9080693572759628","1.9002032838761806","1.9002032838761806","1.9002032838761806","1.9383357875049114","1.9383357875049114","1.9383357875049114"
"20","1.684709956869483","1.684709956869483","1.684709956869483","1.6747360192239285","1.6747360192239285","1.6747360192239285","1.6634858530014753","1.6634858530014753","1.6634858530014753","1.689310336485505","1.689310336485505","1.689310336485505"
"21","1.7446449492126703","1.7446449492126703","1.7446449492126703","1.7225895710289478","1.7225895710289478","1.7225895710289478","1.7156789377331734","1.7156789377331734","1.7156789377331734","1.747107207775116","1.747107207775116","1.747107207775116"
"22","1.601388767361641","1.601388767361641","1.601388767361641","1.5918073505163193","1.5918073505163193","1.5918073505163193","1.585433842614293","1.585433842614293","1.585433842614293","1.618217084556818","1.618217084556818","1.618217084556818"
"23","1.6590986531227827","1.6590986531227827","1.6590986531227827","1.6410645581781864","1.6410645581781864","1.6410645581781864","1.6335322558879852","1.6335322558879852","1.6335322558879852","1.6707592774182558","1.6707592774182558","1.6707592774182558"
"24","1.8188549373298883","1.8188549373298883","1.8188549373298883","1.7946815099567175","1.7946815099567175","1.7946815099567175","1.7867958582937717","1.7867958582937717","1.7867958582937717","1.8178569227457047","1.8178569227457047","1.8178569227457047"
"25","2.0188080854713917","2.0188080854713917","2.0188080854713917","2.0070424377918243","2.0070424377918243","2.0070424377918243","1.9990814179182053","1.9990814179182053","1.9990814179182053","2.041832409799099","2.041832409799099","2.041832409799099"
"26","1.693132009357214","1.693132009357214","1.693132009357214","1.6730432827025652","1.6730432827025652","1.6730432827025652","1.6659058071672916","1.6659058071672916","1.6659058071672916","1.6968474071472883","1.6968474071472883","1.6968474071472883"
"27","1.654616555199027","1.654616555199027","1.654616555199027","1.6358802020549774","1.6358802020549774","1.6358802020549774","1.6279185712337494","1.6279185712337494","1.6279185712337494","1.6588712725788355","1.6588712725788355","1.6588712725788355"
"28","1.5194803141057491","1.5194803141057491","1.5194803141057491","1.504112521186471","1.504112521186471","1.504112521186471","1.4940082468092442","1.4940082468092442","1.4940082468092442","1.5270324908196926","1.5270324908196926","1.5270324908196926"
