"Step","longattn-seperated - grouped_lm_loss/decade_0","longattn-seperated - grouped_lm_loss/decade_0__MIN","longattn-seperated - grouped_lm_loss/decade_0__MAX","longattn-seperated - grouped_lm_loss/decade_6","longattn-seperated - grouped_lm_loss/decade_6__MIN","longattn-seperated - grouped_lm_loss/decade_6__MAX","longattn-no-muon - grouped_lm_loss/decade_0","longattn-no-muon - grouped_lm_loss/decade_0__MIN","longattn-no-muon - grouped_lm_loss/decade_0__MAX","longattn-no-muon - grouped_lm_loss/decade_6","longattn-no-muon - grouped_lm_loss/decade_6__MIN","longattn-no-muon - grouped_lm_loss/decade_6__MAX","longattn - grouped_lm_loss/decade_0","longattn - grouped_lm_loss/decade_0__MIN","longattn - grouped_lm_loss/decade_0__MAX","longattn - grouped_lm_loss/decade_6","longattn - grouped_lm_loss/decade_6__MIN","longattn - grouped_lm_loss/decade_6__MAX"
"0","1.7973738114039104","1.7973738114039104","1.7973738114039104","1.4470910429954529","1.4470910429954529","1.4470910429954529","1.824282169342041","1.824282169342041","1.824282169342041","1.5105340778827667","1.5105340778827667","1.5105340778827667","1.7972664303249783","1.7972664303249783","1.7972664303249783","1.4468515813350677","1.4468515813350677","1.4468515813350677"
"1","1.9716076188617282","1.9716076188617282","1.9716076188617282","1.648179143667221","1.648179143667221","1.648179143667221","1.99698007106781","1.99698007106781","1.99698007106781","1.7147111892700195","1.7147111892700195","1.7147111892700195","1.9715720150205824","1.9715720150205824","1.9715720150205824","1.6482030749320984","1.6482030749320984","1.6482030749320984"
"2","1.6081060303582086","1.6081060303582086","1.6081060303582086","1.3603574931621552","1.3603574931621552","1.3603574931621552","1.6299571063783433","1.6299571063783433","1.6299571063783433","1.4258344173431396","1.4258344173431396","1.4258344173431396","1.6075097057554457","1.6075097057554457","1.6075097057554457","1.3588735163211823","1.3588735163211823","1.3588735163211823"
"3","1.9073418776194255","1.9073418776194255","1.9073418776194255","1.5232726037502289","1.5232726037502289","1.5232726037502289","1.9287021557490032","1.9287021557490032","1.9287021557490032","1.5908484160900116","1.5908484160900116","1.5908484160900116","1.9052694241205852","1.9052694241205852","1.9052694241205852","1.522600919008255","1.522600919008255","1.522600919008255"
"4","1.832319762971666","1.832319762971666","1.832319762971666","1.627580165863037","1.627580165863037","1.627580165863037","1.8585145473480225","1.8585145473480225","1.8585145473480225","1.6881275475025177","1.6881275475025177","1.6881275475025177","1.8310906622144911","1.8310906622144911","1.8310906622144911","1.6269762217998505","1.6269762217998505","1.6269762217998505"
"5","1.9578964842690363","1.9578964842690363","1.9578964842690363","1.6372463703155518","1.6372463703155518","1.6372463703155518","1.9789752430386014","1.9789752430386014","1.9789752430386014","1.7065032124519348","1.7065032124519348","1.7065032124519348","1.9546936882866754","1.9546936882866754","1.9546936882866754","1.6353254318237305","1.6353254318237305","1.6353254318237305"
"6","1.8631177345911663","1.8631177345911663","1.8631177345911663","1.6599593758583069","1.6599593758583069","1.6599593758583069","1.888383944829305","1.888383944829305","1.888383944829305","1.7326409816741943","1.7326409816741943","1.7326409816741943","1.8599699470731947","1.8599699470731947","1.8599699470731947","1.6573908925056458","1.6573908925056458","1.6573908925056458"
"7","1.911081764433119","1.911081764433119","1.911081764433119","1.6331749260425568","1.6331749260425568","1.6331749260425568","1.9288826253679063","1.9288826253679063","1.9288826253679063","1.6900985538959503","1.6900985538959503","1.6900985538959503","1.9071839385562472","1.9071839385562472","1.9071839385562472","1.6300376057624817","1.6300376057624817","1.6300376057624817"
"8","1.8276763492160373","1.8276763492160373","1.8276763492160373","1.5422291159629822","1.5422291159629822","1.5422291159629822","1.8451876640319824","1.8451876640319824","1.8451876640319824","1.6082200706005096","1.6082200706005096","1.6082200706005096","1.8239918682310317","1.8239918682310317","1.8239918682310317","1.5385971069335938","1.5385971069335938","1.5385971069335938"
"9","1.8649468289481268","1.8649468289481268","1.8649468289481268","1.7120087146759033","1.7120087146759033","1.7120087146759033","1.8833378553390503","1.8833378553390503","1.8833378553390503","1.7712935507297516","1.7712935507297516","1.7712935507297516","1.8645085626178317","1.8645085626178317","1.8645085626178317","1.7088602483272552","1.7088602483272552","1.7088602483272552"
"10","2.0054831902186074","2.0054831902186074","2.0054831902186074","1.6047106385231018","1.6047106385231018","1.6047106385231018","2.0204321410920887","2.0204321410920887","2.0204321410920887","1.6662242710590363","1.6662242710590363","1.6662242710590363","2.003289540608724","2.003289540608724","2.003289540608724","1.5995402038097382","1.5995402038097382","1.5995402038097382"
"11","2.1277145544687905","2.1277145544687905","2.1277145544687905","1.7661807835102081","1.7661807835102081","1.7661807835102081","2.1447107791900635","2.1447107791900635","2.1447107791900635","1.8261052072048187","1.8261052072048187","1.8261052072048187","2.1278450356589422","2.1278450356589422","2.1278450356589422","1.7618755102157593","1.7618755102157593","1.7618755102157593"
"12","1.712856478161282","1.712856478161282","1.712856478161282","1.3759145736694336","1.3759145736694336","1.3759145736694336","1.7196077638202243","1.7196077638202243","1.7196077638202243","1.4208729267120361","1.4208729267120361","1.4208729267120361","1.7142399152119954","1.7142399152119954","1.7142399152119954","1.372153252363205","1.372153252363205","1.372153252363205"
"13","1.7607552078035142","1.7607552078035142","1.7607552078035142","1.550099790096283","1.550099790096283","1.550099790096283","1.7716132402420044","1.7716132402420044","1.7716132402420044","1.5992467999458313","1.5992467999458313","1.5992467999458313","1.7623196575376723","1.7623196575376723","1.7623196575376723","1.5480694472789764","1.5480694472789764","1.5480694472789764"
"14","2.045640614297655","2.045640614297655","2.045640614297655","1.9687663316726685","1.9687663316726685","1.9687663316726685","2.0599547492133246","2.0599547492133246","2.0599547492133246","2.021893560886383","2.021893560886383","2.021893560886383","2.0459993018044367","2.0459993018044367","2.0459993018044367","1.9674923717975616","1.9674923717975616","1.9674923717975616"
"15","2.0231457551320395","2.0231457551320395","2.0231457551320395","1.6849972009658813","1.6849972009658813","1.6849972009658813","2.03648751311832","2.03648751311832","2.03648751311832","1.7440850138664246","1.7440850138664246","1.7440850138664246","2.0194121069378324","2.0194121069378324","2.0194121069378324","1.6812872886657715","1.6812872886657715","1.6812872886657715"
"16","1.584156380759345","1.584156380759345","1.584156380759345","1.214856117963791","1.214856117963791","1.214856117963791","1.5902518696255155","1.5902518696255155","1.5902518696255155","1.259505182504654","1.259505182504654","1.259505182504654","1.5810620652304754","1.5810620652304754","1.5810620652304754","1.2106938362121582","1.2106938362121582","1.2106938362121582"
"17","1.7704692681630452","1.7704692681630452","1.7704692681630452","1.3501631021499634","1.3501631021499634","1.3501631021499634","1.7756635745366414","1.7756635745366414","1.7756635745366414","1.401389479637146","1.401389479637146","1.401389479637146","1.7606712447272406","1.7606712447272406","1.7606712447272406","1.3432795703411102","1.3432795703411102","1.3432795703411102"
"18","1.7684245771831937","1.7684245771831937","1.7684245771831937","1.4080192148685455","1.4080192148685455","1.4080192148685455","1.7766451968087091","1.7766451968087091","1.7766451968087091","1.466814547777176","1.466814547777176","1.466814547777176","1.760088046391805","1.760088046391805","1.760088046391805","1.4028047025203705","1.4028047025203705","1.4028047025203705"
"19","2.0068776342603893","2.0068776342603893","2.0068776342603893","1.875459372997284","1.875459372997284","1.875459372997284","2.0179384417004056","2.0179384417004056","2.0179384417004056","1.9287573099136353","1.9287573099136353","1.9287573099136353","1.9995787805981107","1.9995787805981107","1.9995787805981107","1.8722456991672516","1.8722456991672516","1.8722456991672516"
"20","1.8818346526887682","1.8818346526887682","1.8818346526887682","1.5046659409999847","1.5046659409999847","1.5046659409999847","1.8862588008244832","1.8862588008244832","1.8862588008244832","1.5495413541793823","1.5495413541793823","1.5495413541793823","1.873604244656033","1.873604244656033","1.873604244656033","1.4997567236423492","1.4997567236423492","1.4997567236423492"
"21","1.9601622687445746","1.9601622687445746","1.9601622687445746","1.402603268623352","1.402603268623352","1.402603268623352","1.9711412323845758","1.9711412323845758","1.9711412323845758","1.447754979133606","1.447754979133606","1.447754979133606","1.9551002846823797","1.9551002846823797","1.9551002846823797","1.3989664912223816","1.3989664912223816","1.3989664912223816"
"22","1.7053577767478094","1.7053577767478094","1.7053577767478094","1.4526080191135406","1.4526080191135406","1.4526080191135406","1.7175077199935913","1.7175077199935913","1.7175077199935913","1.498485267162323","1.498485267162323","1.498485267162323","1.7025735908084445","1.7025735908084445","1.7025735908084445","1.4496126472949982","1.4496126472949982","1.4496126472949982"
"23","1.8445327811770968","1.8445327811770968","1.8445327811770968","1.5464473068714142","1.5464473068714142","1.5464473068714142","1.8631174034542508","1.8631174034542508","1.8631174034542508","1.609361708164215","1.609361708164215","1.609361708164215","1.8421799606747098","1.8421799606747098","1.8421799606747098","1.5417420566082","1.5417420566082","1.5417420566082"
"24","2.0192976792653403","2.0192976792653403","2.0192976792653403","1.6335314214229584","1.6335314214229584","1.6335314214229584","2.0313265323638916","2.0313265323638916","2.0313265323638916","1.6824151575565338","1.6824151575565338","1.6824151575565338","2.0181559721628823","2.0181559721628823","2.0181559721628823","1.6308385729789734","1.6308385729789734","1.6308385729789734"
"25","2.2173500061035156","2.2173500061035156","2.2173500061035156","1.8907620310783386","1.8907620310783386","1.8907620310783386","2.235691918267144","2.235691918267144","2.235691918267144","1.950971007347107","1.950971007347107","1.950971007347107","2.2167516549428306","2.2167516549428306","2.2167516549428306","1.8878701627254486","1.8878701627254486","1.8878701627254486"
"26","1.8697543011771307","1.8697543011771307","1.8697543011771307","1.4942568838596344","1.4942568838596344","1.4942568838596344","1.8813521332210965","1.8813521332210965","1.8813521332210965","1.5477811992168427","1.5477811992168427","1.5477811992168427","1.8687215248743694","1.8687215248743694","1.8687215248743694","1.49053293466568","1.49053293466568","1.49053293466568"
"27","1.7926220099131267","1.7926220099131267","1.7926220099131267","1.5021144151687622","1.5021144151687622","1.5021144151687622","1.8055155674616497","1.8055155674616497","1.8055155674616497","1.550861895084381","1.550861895084381","1.550861895084381","1.7938782903883193","1.7938782903883193","1.7938782903883193","1.5002061128616333","1.5002061128616333","1.5002061128616333"
"28","1.7647897269990709","1.7647897269990709","1.7647897269990709","1.3177517652511597","1.3177517652511597","1.3177517652511597","1.77957284450531","1.77957284450531","1.77957284450531","1.3645806908607483","1.3645806908607483","1.3645806908607483","1.7646233638127644","1.7646233638127644","1.7646233638127644","1.3144023418426514","1.3144023418426514","1.3144023418426514"
"29","1.6465384032991197","1.6465384032991197","1.6465384032991197","1.3135222792625427","1.3135222792625427","1.3135222792625427","1.658670014805264","1.658670014805264","1.658670014805264","1.363970696926117","1.363970696926117","1.363970696926117","1.6456278165181477","1.6456278165181477","1.6456278165181477","1.3098276555538177","1.3098276555538177","1.3098276555538177"
"30","1.8302054670121934","1.8302054670121934","1.8302054670121934","1.4958085119724274","1.4958085119724274","1.4958085119724274","1.8395614756478205","1.8395614756478205","1.8395614756478205","1.541257083415985","1.541257083415985","1.541257083415985","1.829783386654324","1.829783386654324","1.829783386654324","1.4944778382778168","1.4944778382778168","1.4944778382778168"
"31","2.0183463096618652","2.0183463096618652","2.0183463096618652","1.937001496553421","1.937001496553421","1.937001496553421","2.0329944027794733","2.0329944027794733","2.0329944027794733","1.9831381440162659","1.9831381440162659","1.9831381440162659","2.016916685634189","2.016916685634189","2.016916685634189","1.9352197647094727","1.9352197647094727","1.9352197647094727"
"32","1.8023057646221585","1.8023057646221585","1.8023057646221585","1.4109424650669098","1.4109424650669098","1.4109424650669098","1.8111667500601873","1.8111667500601873","1.8111667500601873","1.4548842012882233","1.4548842012882233","1.4548842012882233","1.8017621040344238","1.8017621040344238","1.8017621040344238","1.4072854220867157","1.4072854220867157","1.4072854220867157"
"33","1.9355473915735881","1.9355473915735881","1.9355473915735881","1.6063734292984009","1.6063734292984009","1.6063734292984009","1.9451806280348036","1.9451806280348036","1.9451806280348036","1.6585111916065216","1.6585111916065216","1.6585111916065216","1.9334564208984375","1.9334564208984375","1.9334564208984375","1.6028977632522583","1.6028977632522583","1.6028977632522583"
"34","2.039072036743164","2.039072036743164","2.039072036743164","1.732910692691803","1.732910692691803","1.732910692691803","2.046330359246996","2.046330359246996","2.046330359246996","1.78047776222229","1.78047776222229","1.78047776222229","2.038007802433438","2.038007802433438","2.038007802433438","1.731048583984375","1.731048583984375","1.731048583984375"
"35","1.703294383154975","1.703294383154975","1.703294383154975","1.4168103337287903","1.4168103337287903","1.4168103337287903","1.7142384184731378","1.7142384184731378","1.7142384184731378","1.4632971286773682","1.4632971286773682","1.4632971286773682","1.7014619906743367","1.7014619906743367","1.7014619906743367","1.4152441620826721","1.4152441620826721","1.4152441620826721"
"36","2.0717976093292236","2.0717976093292236","2.0717976093292236","1.8318028151988983","1.8318028151988983","1.8318028151988983","2.0816809203889637","2.0816809203889637","2.0816809203889637","1.8810132443904877","1.8810132443904877","1.8810132443904877","2.072521514362759","2.072521514362759","2.072521514362759","1.8300910890102386","1.8300910890102386","1.8300910890102386"
"37","1.6800983217027452","1.6800983217027452","1.6800983217027452","1.3512383699417114","1.3512383699417114","1.3512383699417114","1.6883517901102703","1.6883517901102703","1.6883517901102703","1.3872817158699036","1.3872817158699036","1.3872817158699036","1.6815358532799616","1.6815358532799616","1.6815358532799616","1.350913017988205","1.350913017988205","1.350913017988205"
